Title,IMDb,Netflix,Hulu,Prime Video,Disney+,Genres,Runtime
Kabhi Khushi Kabhie Gham,7.4,1,0,0,0,Drama;Musical;Romance,210
Charlie and the Chocolate Factory,6.6,1,0,0,0,Adventure;Comedy;Family;Fantasy;Musical,115
Freaks,6.7,1,0,0,0,Drama;Mystery;Sci-Fi;Thriller,105
Hannah Gadsby: Nanette,8.2,1,0,0,0,Documentary;Comedy,69
The Mask of Zorro,6.7,1,0,0,0,Action;Adventure;Comedy;Romance;Thriller;Western,136
The Natural,7.5,1,0,0,0,Drama;Sport,138
Equilibrium,7.4,1,0,0,0,Action;Drama;Sci-Fi;Thriller,107
Arthur Christmas,7.1,1,0,0,0,Animation;Adventure;Comedy;Family;Fantasy,97
The Rainmaker,7.2,1,0,1,0,Crime;Drama;Thriller,135
Winter on Fire: Ukraine's Fight for Freedom,8.4,1,0,0,0,Documentary,102
Always Be My Maybe,6.8,1,0,0,0,Comedy;Romance,101
The Crying Game,7.2,1,0,0,0,Crime;Drama;Romance;Thriller,112
War Horse,7.2,1,0,0,0,Action;Adventure;Drama;History;War,146
Shot Caller,7.3,1,0,0,0,Crime;Drama;Thriller,121
The Invitation,6.6,1,0,1,0,Drama;Mystery;Thriller,100
A Most Violent Year,7,1,0,0,0,Action;Crime;Drama;Thriller,125
The Other Guys,6.6,1,0,0,0,Action;Comedy;Crime,107
Kapoor & Sons,7.7,1,0,0,0,Comedy;Drama;Romance,132
On Body and Soul,7.6,1,0,0,0,Drama;Fantasy;Mystery;Romance,116
The Fundamentals of Caring,7.3,1,0,1,0,Comedy;Drama,97
Insidious,6.8,1,0,0,0,Horror;Mystery;Thriller,103
Bill Burr: Paper Tiger,8.2,1,0,0,0,Comedy,67
Bad Boys,6.9,1,0,0,0,Action;Comedy;Crime;Thriller,119
The Foreigner,7,1,0,0,0,Action;Thriller,113
The Danish Girl,7.1,1,0,0,0,Biography;Drama;Romance,119
The Girl with All the Gifts,6.6,1,0,0,0,Drama;Horror;Sci-Fi;Thriller,111
Bird Box,6.6,1,0,0,0,Drama;Horror;Sci-Fi,124
The Ring,7.1,1,0,1,0,Horror;Mystery,115
Hostiles,7.2,1,0,0,0,Drama;Western,134
Sairat,8.3,1,0,0,0,Drama;Romance,174
Trumbo,7.5,1,0,1,0,Biography;Drama,124
LA 92,8.2,1,0,0,0,Documentary;History,114
20th Century Women,7.3,1,0,0,0,Comedy;Drama,119
Kal Ho Naa Ho,8,1,0,0,0,Comedy;Drama;Romance,186
Swiss Army Man,7,1,0,0,0,Comedy;Drama;Fantasy;Romance,97
In This Corner of the World,7.8,1,0,0,0,Animation;Drama;Family;History;War,129
A Ghost Story,6.9,1,0,0,0,Drama;Fantasy;Romance,92
United 93,7.5,1,0,0,0,Drama;History;Thriller,111
Patriot Games,6.9,1,0,1,0,Action;Thriller,117
The Secret Life of Pets 2,6.5,1,0,0,0,Animation;Adventure;Comedy;Family,86
Hitch,6.6,1,1,0,0,Comedy;Romance,118
The Young Offenders,7.1,1,0,0,0,Comedy,30
Enemy,6.9,1,0,0,0,Drama;Mystery;Thriller,91
Mirage,7.4,1,0,1,0,Drama;Mystery;Romance;Thriller,128
Everybody's Everything,7.4,1,0,0,0,Documentary,116
Indiana Jones and the Kingdom of the Crystal Skull,6.1,1,0,0,0,Action;Adventure,122
The Guernsey Literary & Potato Peel Pie Society,7.4,1,0,0,0,Drama;Romance;War,124
I Don't Feel at Home in This World Anymore,6.9,1,0,0,0,Comedy;Crime;Drama;Thriller,93
The Endless,6.5,1,0,0,0,Drama;Fantasy;Horror;Mystery;Sci-Fi;Thriller,111
Julie & Julia,7,1,0,0,0,Biography;Drama;Romance,123
The Game Changers,7.9,1,0,0,0,Documentary,108
Under the Shadow,6.9,1,0,0,0,Drama;Horror;Thriller;War,84
Angel Has Fallen,6.4,1,0,0,0,Action;Thriller,121
Kon-Tiki,7.2,1,0,1,0,Adventure;Biography;Drama;History,118
Mary Poppins Returns,6.7,1,0,0,0,Comedy;Family;Fantasy;Musical,130
Kajaki,7.1,1,0,0,0,Adventure;Biography;Drama;Thriller;War,108
The Fear of 13,7.7,1,0,0,0,Documentary;Crime;Mystery,96
The Night Comes for Us,7,1,0,0,0,Action;Thriller,121
Blood Father,6.4,1,0,0,0,Action;Crime;Drama;Thriller,88
Stree,7.6,1,0,0,0,Comedy;Horror,128
American Factory,7.4,1,0,0,0,Documentary,110
Code 8,6.1,1,0,0,0,Action;Crime;Drama;Sci-Fi;Thriller,98
Salt,6.4,1,0,0,0,Action;Mystery;Thriller,100
The Hundred-Foot Journey,7.3,1,0,0,0,Comedy;Drama,122
The Distinguished Citizen,7.5,1,0,0,0,Comedy;Drama,118
Scooby-Doo on Zombie Island,7.8,1,0,0,0,Animation;Adventure;Comedy;Family;Fantasy;Mystery,77
Chasing Coral,8.1,1,0,0,0,Documentary,93
The End of the Tour,7.3,1,0,0,0,Biography;Drama,106
The One I Love,7.1,1,0,0,0,Comedy;Drama;Sci-Fi,91
Underworld,7,1,0,0,0,Action;Fantasy;Thriller,121
The Death of Mr. Lazarescu,7.9,1,0,0,0,Comedy;Drama,153
Madagascar: Escape 2 Africa,6.6,1,0,0,0,Animation;Adventure;Comedy;Family,89
The Wolf's Call,6.9,1,0,0,0,Action;Adventure;Sci-Fi;Thriller,115
What Happened to Monday,6.9,1,0,0,0,Action;Adventure;Crime;Fantasy;Mystery;Sci-Fi;Thriller,123
The Willoughbys,6.4,1,0,0,0,Animation;Adventure;Comedy;Family,90
The White Helmets,7.5,1,0,0,0,Documentary;Short;Crime;War,41
Suburra,7.4,1,0,0,0,Action;Crime,50
The Matrix Revolutions,6.8,1,0,0,0,Action;Sci-Fi,129
Richard Pryor: Live in Concert,8.2,1,0,0,0,Comedy,78
Austin Powers: The Spy Who Shagged Me,6.6,1,0,0,0,Action;Adventure;Comedy;Crime,95
Get Him to the Greek,6.4,1,0,0,0,Comedy;Music,109
Slow West,6.9,1,0,0,0,Action;Adventure;Drama;Romance;Thriller;Western,84
The Meyerowitz Stories (New and Selected),6.9,1,0,0,0,Comedy;Drama,112
The Battered Bastards of Baseball,8,1,0,0,0,Documentary;Sport,80
The Perfection,6.1,1,0,0,0,Drama;Horror;Thriller,90
Ip Man 3,7.1,1,0,0,0,Action;Biography;Drama,105
Sinister,6.8,1,0,0,0,Horror;Mystery;Thriller,110
Rush: Beyond the Lighted Stage,8.4,1,0,0,0,Documentary;Biography;Music,107
20 Feet from Stardom,7.4,1,0,0,0,Documentary;Biography;Music,91
